years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,SubmergedEnergy,SubmergedSprawl,SubmergedConsumption,floatingEnergy,floatingSprawl,floatingConsumption,aquaticEnergy,aquaticSprawl,aquaticConsumption,herbEnergy,herbSprawl,herbConsumption,woodyEnergy,woodySprawl,woodyConsumption,SubmergedNum,floatingNum,aquaticNum,herbNum,woodyNum,waterNum,debrisNum
500, 1.0, 0.0, 1.0, 0.0, '60KAS0', 83, 41500, 9, 67, 6700, 5, 621, 124200, 44, 996, 59760, 68, 1995, 1995000, 76, 519, 52, 105, 1, 1, 987, 78
500, 1.0, 0.0, 1.0, 0.0, 'T0Q3R3', 77, 38500, 11, 63, 6300, 10, 591, 118200, 35, 1006, 60360, 56, 1995, 1995000, 89, 250, 171, 150, 1, 1, 1152, 1
500, 32.0, 0.0, 32.0, 0.0, 'N825NB', 78, 39000, 5, 77, 7700, 16, 612, 122400, 42, 1005, 60300, 61, 1997, 1997000, 72, 157, 1, 56, 22, 1, 1108, 142
500, 11.0, 0.0, 11.0, 0.0, 'GNSWCF', 75, 37500, 18, 65, 6500, 5, 600, 120000, 31, 1009, 60540, 56, 2013, 2013000, 78, 183, 13, 1, 116, 1, 1055, 76
500, 1.0, 0.0, 1.0, 0.0, 'L6ZPXG', 91, 45500, 9, 80, 8000, 11, 593, 118600, 33, 1000, 60000, 63, 2003, 2003000, 83, 480, 181, 60, 76, 1, 997, 66
500, 1.0, 0.0, 1.0, 0.0, '4Y21EI', 78, 39000, 17, 58, 5800, 13, 596, 119200, 37, 995, 59700, 62, 2005, 2005000, 84, 141, 148, 71, 1, 176, 943, 38
500, 500.0, 0.0, 500.0, 0.0, '9HQXXO', 64, 32000, 18, 64, 6400, 15, 592, 118400, 45, 1005, 60300, 63, 2001, 2001000, 77, 265, 29, 5, 76, 7, 1075, 94
500, 121.0, 0.0, 121.0, 0.0, 'T70A1P', 79, 39500, 8, 72, 7200, 5, 603, 120600, 46, 981, 58860, 53, 1995, 1995000, 81, 80, 43, 35, 1, 238, 1104, 1
500, 1.0, 0.0, 1.0, 0.0, 'WM27YD', 60, 30000, 12, 59, 5900, 8, 602, 120400, 42, 997, 59820, 56, 2004, 2004000, 77, 95, 161, 48, 1, 1, 1110, 1
500, 500.0, 0.0, 500.0, 0.0, '8ZKN44', 67, 33500, 5, 74, 7400, 7, 604, 120800, 32, 1006, 60360, 62, 1999, 1999000, 78, 321, 1, 37, 1, 1, 1070, 1
500, 1.0, 0.0, 1.0, 0.0, 'DCCZRR', 68, 34000, 11, 60, 6000, 11, 600, 120000, 42, 994, 59640, 52, 1998, 1998000, 82, 136, 130, 1, 150, 1, 1013, 1
500, 110.0, 0.0, 110.0, 0.0, 'YIP5ZF', 67, 33500, 5, 57, 5700, 7, 596, 119200, 38, 1005, 60300, 64, 2002, 2002000, 88, 209, 56, 108, 8, 62, 1109, 1
500, 500.0, 0.0, 500.0, 0.0, 'PU4GDO', 83, 41500, 6, 57, 5700, 5, 589, 117800, 53, 996, 59760, 54, 2007, 2007000, 74, 193, 1, 1, 5, 19, 1045, 1
500, 51.0, 0.0, 51.0, 0.0, 'I9KI6D', 60, 30000, 11, 88, 8800, 5, 613, 122600, 41, 1013, 60780, 61, 2006, 2006000, 77, 97, 1, 72, 1, 1, 1010, 1
500, 39.0, 0.0, 39.0, 0.0, 'JKU9PI', 48, 24000, 10, 71, 7100, 10, 610, 122000, 35, 984, 59040, 61, 1994, 1994000, 81, 228, 1, 10, 47, 1, 845, 1
500, 1.0, 0.0, 1.0, 0.0, 'EZRZUD', 74, 37000, 11, 66, 6600, 14, 582, 116400, 31, 1023, 61380, 53, 2017, 2017000, 82, 219, 37, 37, 1, 28, 1022, 1
500, 45.0, 0.0, 45.0, 0.0, 'TVFLFA', 62, 31000, 13, 78, 7800, 16, 617, 123400, 45, 980, 58800, 59, 1996, 1996000, 79, 294, 1, 85, 1, 1, 945, 15
500, 21.0, 0.0, 21.0, 0.0, 'F3AFXT', 69, 34500, 18, 70, 7000, 5, 598, 119600, 47, 985, 59100, 61, 1991, 1991000, 92, 361, 1, 107, 1, 1, 1139, 81
500, 26.0, 0.0, 26.0, 0.0, 'JQWUEV', 68, 34000, 16, 89, 8900, 24, 599, 119800, 35, 1004, 60240, 59, 1997, 1997000, 77, 239, 1, 47, 33, 1, 977, 107
500, 21.0, 0.0, 21.0, 0.0, 'DCDLAI', 62, 31000, 8, 73, 7300, 20, 593, 118600, 34, 1010, 60600, 55, 2000, 2000000, 77, 119, 1, 175, 1, 110, 838, 1
500, 1.0, 0.0, 1.0, 0.0, 'RFZUEC', 53, 26500, 12, 48, 4800, 7, 606, 121200, 36, 976, 58560, 66, 2000, 2000000, 83, 252, 18, 21, 1, 1, 1007, 19
500, 500.0, 0.0, 500.0, 0.0, 'TFPIZK', 87, 43500, 9, 75, 7500, 6, 597, 119400, 44, 1011, 60660, 55, 1990, 1990000, 79, 216, 1, 37, 1, 1, 1039, 1
500, 44.0, 0.0, 44.0, 0.0, 'J5578C', 66, 33000, 15, 76, 7600, 11, 609, 121800, 44, 1008, 60480, 63, 1999, 1999000, 88, 92, 41, 118, 1, 9, 965, 69
500, 500.0, 0.0, 500.0, 0.0, 'E0FC9S', 70, 35000, 14, 78, 7800, 11, 588, 117600, 39, 981, 58860, 67, 1997, 1997000, 80, 332, 1, 8, 1, 39, 933, 45
500, 54.0, 0.0, 54.0, 0.0, 'D09HXU', 76, 38000, 13, 78, 7800, 12, 583, 116600, 35, 1015, 60900, 51, 2013, 2013000, 75, 255, 1, 30, 117, 1, 1029, 1
